0余	0餘
甚么都干	甚麼都幹
甜面	甜面
甜面酱	甜麵醬
生克	生剋
生力	生力
生力面	生力麵
生姜	生薑
生得	生得
生得丑	生得醜
生理	生理
生发	生發
生发水	生髮水
生发药	生髮藥
生长	生長
甩发	甩髮
甲胄	甲冑
男用	男用
男用表	男用錶
留发	留髮
畛怀	軫懷
亩余	畝餘
略干	略乾
略松	略鬆
畦径	畦逕
番薯	蕃薯
画象	畫像
画饼	畫餅
画饼充饥	畫餅充饑
当一	當一
当一声	噹一聲
当其	當其
当其冲	當其衝
当准	當準
当周	當週
当周润发	當周潤發
当啷	噹啷
当局	當局
当年	當年
当然	當然
当然罗！	當然囉！
当当	噹噹
当当当	噹噹噹
当的	當的
当的一声	噹的一聲
当的一响	噹的一響
当郎	噹啷
疆弩	疆弩
疆弩之末	彊弩之末
疏松	疏鬆
疏浚	疏濬
疑系	疑係
疔伤	療傷
疲困	疲睏
疾卷	疾捲
疾冲	疾衝
病入	病入
病入膏盲	病入膏肓
病征	病徵
病愈	病癒
病难	病難
病难愈	病難癒
症结	癥結
痊愈	痊癒
痉孪	痙攣
发乳	髮乳
发乱	發亂
发乱钗横	髮亂釵橫
发冠	髮冠
发卷	髮捲
发型	髮型
发夹	髮夾
发套	髮套
发如	發如
发如飞蓬	髮如飛蓬
发妻	髮妻
发姐	髮姐
发布	發佈
发带	髮帶
发干	發乾
发廊	髮廊
发式	髮式
发指	髮指
发指令	發指令
发挽	發挽
发挽双髻	髮挽雙髻
发束	髮束
发根	髮根
发梢	髮梢
发梳	髮梳
发油	髮油
发皓	髮皓
发笺	髮箋
发箍	髮箍
发簪	髮簪
发丝	髮絲
发缨	髮纓
发肤	髮膚
发胶	髮膠
发色	髮色
发菜	髮菜
发蜡	髮蠟
发表	發表
发表欲	發表慾
发质	髮質
发辫	髮辮
发醅	醱醅
发针	髮針
发钗	髮釵
发长	髮長
发长音	發長音
发际	髮際
发雕	髮雕
发霜	髮霜
发面	發麵
发须	發須
发须俱	髮鬚俱
发须已	髮鬚已
发须斑	髮鬚斑
发须皆	髮鬚皆
发须都	髮鬚都
发饰	髮飾
发香	髮香
发髯	髮髯
发髻	髮髻
发鬓	髮鬢
发霉	發霉
白淅	白皙
白澈	白皙
白发	白髮
白白	白白
白白干	白白幹
白术	白朮
白面	白面
白面无须	白面無鬚
白须	白鬚
百余	百餘
百余只	百餘隻
百余里	百餘里
百只	百隻
百天	百天
百天后	百天後
百姓	百姓
百姓于	百姓於
百拙	百拙
百拙千丑	百拙千醜
百海	百海
百海里	百海里
百里	百里
的丑	的醜
的丑相	的醜相
的亮	的亮
的亮发	的亮髮
的发	的發
的发型	的髮型
的发式	的髮式
皆准	皆準
皆云	皆云
皇后	皇后
皇历	皇曆
皓发	皓髮
皮制	皮製
皮松	皮鬆
皱折	皺摺
盆吊	盆弔
盈余	盈餘
盍然	溘然
盍盍	溘溘
盍谢	溘謝
盍逝	溘逝
盛赞	盛讚
盗采	盜採
尽先	儘先
尽可	盡可
尽可能	儘可能
尽够	儘夠
尽干	盡幹
尽教	儘教
尽早	儘早
尽是	儘是
尽有	盡有
尽有可能	儘有可能
尽管	儘管
尽量	儘量
监制	監製
盘卷	盤捲
盘回	盤迴
盘涅	槃涅
盘游	盤遊
目定	目定
目定口呆	目瞪口呆
目我	目我
目我于思	目我于思
盯准	盯準
盲干	盲幹
盲冲	盲衝
直卷	直捲
直干	直幹
直冲	直衝
直发	直髮
直发抖	直發抖
直发毛	直發毛
直发汗	直發汗
相并	相併
相克	相剋
相准	相準
相奸	相姦
相干	相干
相形	相形
相形见拙	相形見絀
相拼	相拚
相斗	相鬥
相当	相當
相当准	相當準
相象	相像
相关	相關
眈误	耽誤
看不	看不
看不准	看不準
看准	看準
看出	看出
看出电影	看齣電影
看着	看著
真丑	真醜
真准	真準
真凶	真兇
真知	真知
真知卓见	真知灼見
真缔	真諦
真象	真像
真象科	真象科
眩耀	炫耀
眼困	眼睏
眼框	眼眶
眼花	眼花
眼花了乱	眼花瞭亂
睡眠	睡眠
睡眠欲	睡眠慾
瞄不	瞄不
瞄不准	瞄不準
瞄准	瞄準
瞅不	瞅不
瞅不准	瞅不準
瞅准	瞅準
瞌然	瞌然
瞌然长逝	溘然長逝
瞎冲	瞎衝
瞥准	瞥準
瞧不	瞧不
瞧不准	瞧不準
瞧准	瞧準
瞧着	瞧著
知丑	知醜
短小	短小
短小精干	短小精悍
短发	短髮
短发性	短發性
短须	短鬚
石制	石製
石梁	石樑
石膏	石膏
石膏象	石膏像
石英	石英
石英表	石英錶
石英钟	石英鍾
石象	石像
砌并	砌併
砍准	砍準
研制	研製
砰当	砰噹
破坏	破壞
破坏欲	破壞慾
硬干	硬幹
硬拼	硬拚
硬冲	硬衝
硬发	硬髮
碎发	碎髮
碑志	碑誌
碗干	碗乾
碗白	碗白
碗白干	碗白乾
碗素	碗素
碗素面	碗素麵
碗面	碗麵
碧咸	碧咸
确系	確係
确系着	確繫著
磁制	磁製
磋跎	蹉跎
磨制	磨製
示范	示範
神佑	神祐
神准	神準
神只	神祇
神游	神遊
神祗	神祇
神经	神經
神经干	神經幹
神象	神像
神迹	神蹟
祭吊	祭弔
禁欲	禁慾
禁烟	禁菸
禁若	禁若
禁若寒蝉	噤若寒蟬
礼赞	禮讚
秃发	禿髮
秀发	秀髮
私下	私下
私下里	私下裡
私斗	私鬥
私欲	私慾
秋不	秋不
秋不干	秋不乾
秋千	鞦韆
秋台	秋颱
秋游	秋遊
秒表	秒錶
秘制	秘製
租贷	租賃
秤锤	秤錘
稀松	稀鬆
稀里	稀里
稍干	稍干
稍干的	稍乾的
稍有	稍有
稍有不准	稍有不準
稍松	稍鬆
禀复	稟覆
种师	種師
种师中	种師中
种师道	种師道
种放	种放
种发	種發
种发式	種髮式
种谷	種穀
称赞	稱讚
稻杆	稻稈
稻谷	稻穀
稽康	嵇康
稽征	稽徵
积淀	積澱
积谷	積穀
积郁	積鬱
稳且	穩且
稳且准	穩且準
稳扎	穩紮
稳稳	穩穩
稳稳当当	穩穩當當
空余	空餘
空蒙	空濛
穿着	穿著
窒欲	窒慾
窗台	窗檯
窣悉	窣窸
窝里	窩裡
窝里斗	窩裡鬥
窥准	窺準
竟斗	竟斗
竟斗不	竟鬥不
竟象	竟像
童仆	僮僕
童婢	僮婢
竞斗	競鬥
竹制	竹製
竹席	竹蓆
竹框	竹筐
竹杆	竹竿
竹签	竹籤
竹荀	竹筍
竹藤	竹籐
竽头	芋頭
笆蕉	芭蕉
笑容	笑容
笑容可鞠	笑容可掬
笑讷	笑納
笑魇	笑靨
符录	符籙
笔秃	筆禿
笔秃墨干	筆禿墨乾
等侯	等候
筋斗	觔斗
笋干	筍乾
笋况	荀況
答复	答覆
策勋	策勛
算不	算不
算不准	算不準
算丑	算醜
算准	算準
管理	管理
箱函	箱涵
节余	節餘
节欲	節慾
篷松	篷鬆
篾箪	篾簟
简朴	簡樸
箫条	蕭條
签卜	籤卜
签文	籤文
签条	籤條
签爪	籤爪
签筒	籤筒
签诗	籤詩
籍口	藉口
箩卜	蘿蔔
吁了	吁了
吁俞	吁俞
吁咈	吁咈
吁嗟	吁嗟
吁叹	吁嘆
吁嘘	吁噓
吁气	吁氣
吁吁	吁吁
米余	米餘
米谷	米穀
粉制	粉製
粉干	粉乾
粗制	粗製
粗朴	粗樸
精准	精準
精制	精製
精干	精幹
精致	精緻
精辟	精闢
糊口	餬口
糊涂	糊塗
糟塌	糟蹋
糟达	蹧躂
糟遢	糟蹋
糸于	糸於
糸于一线	繫於一線
系一	系一
系一片	係一片
系一番	係一番
系一种	係一種
系一线	繫一線
系上	繫上
系乎	繫乎
系了	繫了
系住	繫住
系个	繫個
系囚	繫囚
系块	繫塊
系妥	繫妥
系带	繫帶
系引	係引
系心	繫心
系念	繫念
系怀	繫懷
系手	繫手
系指	係指
系挂	繫掛
系数	係數
系于	繫於
系于一发	繫於一髮
系条	繫條
系为	係為
系争	係爭
系牢	繫牢
系获	係獲
系留	繫留
系发	系發
系发带	繫髮帶
系累	係累
系绊	繫絆
系丝	系絲
系丝带	繫絲帶
系紧	繫緊
系缚	繫縛
系绳	繫繩
系缆	繫纜
系腰	繫腰
系脚	繫腳
系膜	繫膜
系着	繫著
系裹	繫裹
系裤	系褲
系裤子	繫褲子
系起	繫起
系踵	係踵
系辞	繫辭
系铃	繫鈴
系铃人	繫鈴人
系鞋	系鞋
系鞋带	繫鞋帶
系头	系頭
系头巾	繫頭巾
系颈	繫頸
系颈阙庭	係頸闕庭
系风	系風
系风捕景	係風捕景
系马	繫馬
纪念	紀念
纪念周	紀念週
纪历	紀曆
约斗	約鬥
约雇	約僱
红签	紅籤
红须	紅須
红须绿眼	紅鬚綠眼
纡余	紆餘
纡回	紆迴
纡郁	紆鬱
纨绔	紈袴
纨绔子弟	紈褲子弟
纨袴	紈褲
纳征	納徵
纯朴	純樸
纯系	純係
纸扎	紙紮
素朴	素樸
素食	素食
素食面	素食麵
纺锤	紡錘
索马	索馬
索马利里	索馬利里
索马里	索馬里
索马里兰	索馬里蘭
紫姜	紫薑
累累	纍纍
细致	細緻
结伙	結夥
结余	結餘
结彩	結綵
结扎	結紮
结发	結髮
绞干	絞乾
给他	給他
给他干粮	給他乾糧
给你	給你
给你干粮	給你乾糧
给她	給她
给她干粮	給她乾糧
给我	給我
给我干净	給我乾淨
丝制	絲製
丝弦	絲絃
绑扎	綁紮
经斗	經斗
经斗数	經鬥數
经理	經理
经白	經白
经白干	經白幹
综合	綜合
综合征	綜合徵
绸密	稠密
维系	維繫
绾发	綰髮
网志	網誌
网游	網遊
紧卷	緊捲
紧扎	緊紮
绪余	緒餘
缉凶	緝兇
编发	編髮
编篡	編纂
编采	編採
缓征	緩徵
缓冲	緩衝
缈茫	渺茫
萦回	縈迴
缜致	縝緻
县志	縣誌
缝制	縫製
缝扎	縫紮
缝纴	縫紉
缩栗	縮慄
纵横	縱橫
纵横交布	縱橫交佈
纵欲	縱慾
縻系	縻繫
总理	總理
繁复	繁複
绕梁	繞樑
绣象	繡像
绘制	繪製
继续	繼續
继续干	繼續幹
纂位	篡位
续弦	續絃
缠卷	纏捲
缠斗	纏鬥
纤夫	縴夫
缺舌	鴃舌
罔然	惘然
罔罔	惘惘
罩准	罩準
罩卷	罩捲
罢斗	罷鬥
罗哩	囉哩
罗唆	囉唆
罗嗦	囉嗦
罗啰	囉囉
罗啰唆唆	囉囉唆唆
罗啰嗦嗦	囉囉嗦嗦
罗罗	羅羅
罗罗苏苏	囉囉囌囌
罗苏	囉囌
罗里	羅里
罗里啰唆	囉哩囉唆
罗里啰嗦	囉哩囉嗦
罗里罗苏	囉哩囉囌
罗难	罹難
罗音	囉音
羁拌	羈絆
美丑	美醜
美制	美製
美制定	美制定
美制订	美制訂
美或	美或
美或丑	美或醜
美与	美與
美与丑	美與醜
羞赦	羞赧
羡余	羨餘
群斗	群鬥
群象	群像
羹面	羹麵
翕辟	翕闢
翦彩	翦綵
翱游	翱遊
翻来	翻來
翻来复去	翻來覆去
翻卷	翻捲
翻台	翻檯
翻松	翻鬆
翻云	翻雲
翻云复雨	翻雲覆雨
老丑	老醜
老且	老且
老且丑	老且醜
老姜	老薑
老板	老闆
老么	老么
考征	考徵
者系	者係
者云	者云
而云	而云
而云然云	而云然
而云尔云	而云爾
而云诗云	而云詩
而象	而像
耐心	耐心
耐心细致	耐心細緻
耕获	耕穫
耗干	耗乾
聊天	聊天
聊斋	聊齋
聊斋志异	聊齋誌異
圣叹	聖歎
圣杯	聖盃
圣象	聖像
圣迹	聖蹟
聘雇	聘僱
联准	聯准
联准局	聯準局
联征	聯徵
联手	聯手
联手斗	聯手鬥
联系	聯繫
联系统	聯系統
听不	聽不
听不准	聽不準
听着	聽著
肆业	肄業
肉干	肉乾
肉松	肉鬆
肉欲	肉慾
肉丝	肉絲
肉丝面	肉絲麵
肉面	肉麵
肖象	肖像
肝脏	肝臟
股栗	股慄
肢体	肢體
肯干	肯幹
肯干啊	肯幹啊
肴撰	餚饌
肺脏	肺臟
胃脏	胃臟
背影	背影
背影后	背影後
背系	背繫
胡子	鬍子
胡干	胡幹
胡梢	鬍梢
胡涂	胡塗
胡渣	鬍渣
胡碴	胡碴
胡碴子	鬍碴子
胡里	胡裡
胡里胡涂	糊裡糊塗
胡雪	胡雪
胡雪岩	胡雪巖
胡须	鬍鬚
胡髭	鬍髭
胡髯	鬍髯
胡鬓	鬍鬢
胰脏	胰臟
能干	能幹
能干休	能干休
能干嚎	能乾嚎
能干巴巴	能乾巴巴
能干搁	能乾擱
能干扰	能干擾
能干政	能干政
能干杯	能乾杯
能干涉	能干涉
能干净	能乾淨
能干瞪	能乾瞪
能干笑	能乾笑
能干系	能干系
能干耗	能乾耗
能干脆	能乾脆
能乾着急	能乾著急
能干预	能干預
能舍	能捨
能象	能像
能象征	能象徵
能象征性	能象徵性
脉冲	脈衝
脊梁	脊樑
唇干	脣乾
脱发	脫髮
脺脏	脺臟
脾脏	脾臟
肾脏	腎臟
腐余	腐餘
腑脏	腑臟
腕表	腕錶
脑干	腦幹
腮胡	腮鬍
腰一	腰一
腰一卷	腰一捲
腰干	腰幹
腰系	腰繫
腰间	腰間
腰间系	腰間繫
脚夫	腳伕
脚注	腳註
脚炼	腳鍊
肠脏	腸臟
胶制	膠製
膨松	膨鬆
膺品	贗品
胆战	膽顫
臂一	臂一
臂一卷	臂一捲
卧游	臥遊
自助	自助
自助游	自助遊
自愈	自癒
自赞	自讚
自采	自採
致密	緻密
舂谷	舂穀
舄湖	潟湖
与他	與他
与他一斗	與他一鬥
与女	與女
与女斗	與女鬥
与她	與她
与她一斗	與她一鬥
旧历	舊曆
旧历史	舊歷史
旧游	舊遊
舌一	舌一
舌一卷	舌一捲
舍下	舍下
舍下他	捨下他
舍下你	捨下你
舍下她	捨下她
舍下我	捨下我
舍不	舍不
舍不得	捨不得
舍出	捨出
舍去	捨去
舍命	捨命
舍己	捨己
舍得	捨得
舍我	舍我
舍我其谁	捨我其誰
舍本	捨本
舍弃	捨棄
舍死	捨死
舍生	捨生
舍短	捨短
舍旧	舍舊
舍旧迎新	捨舊迎新
舍身	捨身
舍车	舍車
舍车保帅	捨車保帥
舍近	捨近
舒卷	舒捲
舒宁	舒寧
舒宁咸	舒寧咸
舔干	舔乾
舞卷	舞捲
舞娘	舞孃
舞后	舞后
舟揖	舟楫
航海	航海
航海历	航海曆
般准	般準
舶船	泊船
船只	船隻
船夫	船伕
船梁	船樑
船浆	船槳
船纤	船縴
船蓬	船篷
舰只	艦隻
艨冲	艨衝
良游	良遊
色欲	色慾
花卷	花捲
花发	花發
花发老	花髮老
花雕	花彫
苛征	苛徵
若干	若干
若象	若像
苦干	苦幹
苦斗	苦鬥
苦瓜	苦瓜
苦瓜干	苦瓜乾
英九	英九
英寸	英吋
英尺	英呎
英里	英里
范不	范不
范不着	範不著
范例	範例
范围	範圍
范式	範式
范文	範文
范本	範本
范畴	範疇
范行	範行
范险	範險
茅芦	茅廬
茶余	茶餘
茶已	茶已
茶已干	茶已乾
茶干	茶干
茶干掉	荼乾掉
茶干尽	茶乾盡
茶几	茶几
茶毒	荼毒
茶卤	茶滷
草席	草蓆
草管	草管
草管人命	草菅人命
荆朴	荊璞
荷里	荷裡
荷里活	荷里活
莒光	莒光
莒光周	莒光週
茎干	莖幹
莫明	莫明
莫明其妙	莫名其妙
莫里	莫里
菜干	菜乾
菜肴	菜餚
华里	華裡
华里沙	華里沙
万余	萬餘
万余只	萬餘隻
万余里	萬餘里
万只	萬隻
万只怕	萬只怕
万历	萬曆
万海	萬海
万海里	萬海里
万里	萬里
落发	落髮
叶里	葉裡
叶里温	葉里溫
着干	著幹
葡萄	葡萄
葡萄干	葡萄乾
蒙住	矇住
蒙叟	矇叟
蒙懂	懞懂
蒙敝	矇蔽
蒙昧	矇昧
蒙胧	矇矓
蒙冲	蒙衝
蒙混	矇混
蒙瞀	矇瞀
蒙瞢	矇瞢
蒙瞽	矇瞽
蒙眬	矇矓
蒙蒙	濛濛
蒙蒙胧	朦朦朧
蒙蒙胧胧	矇矇矓矓
蒙蒙眬	矇矇矓
蒙蔽	矇蔽
蒙雾	濛霧
蒙骗	矇騙
蒲席	蒲蓆
蒸干	蒸乾
苍术	蒼朮
苍郁	蒼鬱
蓄发	蓄髮
蓄须	蓄鬚
蓊郁	蓊鬱
蓬松	蓬鬆
蓬发	蓬髮
蓬蓬	蓬蓬
蓬蓬松松	蓬蓬鬆鬆
蒋干	蔣幹
葱郁	蔥鬱
荫郁	蔭鬱
荡口	盪口
荡气	蕩氣
荡气回肠	蕩氣迴腸
荡气回阳	蕩氣迴陽
荡秋	蕩秋
荡秋千	盪鞦韆
荡舟	盪舟
荡开	盪開
薄幸	薄倖
荐饥	薦饑
藤制	藤製
藤条	籐條
藤椅	籐椅
药制	藥製
药签	藥籤
药而	藥而
药而愈	藥而癒
苏里	蘇里
苏醒	甦醒
蕴借	蘊藉
蕴函	蘊涵
蕴酿	醞釀
萝卜	蘿蔔
萝卜干	蘿蔔乾
虎咽	虎嚥
虎斗	虎鬥
虎须	虎鬚
处理	處理
处高	處高
处高务远	處高鶩遠
虚象	虛像
号志	號誌
虬须	虯鬚
蛋卷	蛋捲
蛩音	跫音
虱目	虱目
蟹螫	蟹螯
蜡象	蠟像
蛮准	蠻準
蛮干	蠻幹
蛮干净	蠻乾淨
蛮干燥	蠻乾燥
蛮干爽	蠻乾爽
血已	血已
血已干	血已乾
血才	血才
血才干	血才乾
血斗	血鬥
行事	行事
行事历	行事曆
行凶	行兇
行尸	行尸
行李	行李
行李卷	行李捲
行游	行遊
衣物	衣物
衣物已干	衣物已乾
衣物渐干	衣物漸乾
衣衫	衣衫
衣衫已干	衣衫已乾
衣驱	衣袪
表带	錶帶
表店	錶店
表厂	錶廠
表征	表徵
表壳	錶殼
表演	表演
表演欲	表演慾
表炼	錶鏈
表范	表範
表链	錶鏈
衫毕	衫畢
衫毕挺	衫筆挺
袖一	袖一
袖一卷	袖一捲
被并	被併
被卷	被捲
被干	被幹
被干扰	被干擾
被干涉	被干涉
被干预	被干預
被复	被覆
被发	被發
被发左衽	被髮左衽
被褥	被縟
裁并	裁併
裁制	裁製
袅雄	梟雄
裕余	裕餘
裙摆	裙襬
补注	補註
装璜	裝潢
里亚	里亞
里仁	里仁
里余	裡餘
里士	裡士
里士满	里士滿
里夫	里夫
里奥	里奧
里尼	里尼
里布	里布
里拉	里拉
里斯	裡斯
里斯本	里斯本
里昂	里昂
里根	里根
里民	里民
里尔	里爾
里科	里科
里程	里程
里约	里約
里纳	里納
里美	里美
里肌	里肌
里兰	里蘭
里象	裡像
里路	里路
里里	里奇
里长	里長
里面	裡面
里面冲	裡面衝
里面冲水	裡面沖水
里面冲洗	裡面沖洗
里面冲凉	裡面沖涼
里面冲澡	裡面沖澡
里面冲身	裡面沖身
裹尸	裹尸
裹扎	裹紮
褐发	褐髮
亵读	褻瀆
襁保	襁褓
褴缕	襤褸
袭卷	襲捲
西周	西周
西岳	西嶽
西后	西后
西昆	西崑
西历	西曆
西冲	西衝
西游	西遊
西装	西裝
西装毕挺	西裝筆挺
西里	西里
要丑	要丑
要丑上	要醜上
要干	要干
要干了	要乾了
要干什么	要幹什麼
要干嘛	要幹嘛
要干杯	要乾杯
要斗	要鬥
要冲	要衝
要冲厕	要沖廁
要冲水	要沖水
要冲凉	要沖涼
要象	要像
规划	規劃
规模	規模
规范	規範
觅准	覓準
亲自	親自
亲自干	親自幹
觊幸	覬倖
觑准	覷準
观斗	觀鬥
观采	觀採
角斗	角鬥
角落	角落
解签	解籤
解签约	解簽約
解象	解像
解雇	解僱
觞子	殤子
触须	觸鬚
订制	訂製
计准	計準
评击	抨擊
评注	評註
词余	詞餘
词汇	詞彙
咏叹	詠歎
试卷	試卷
诗余	詩餘
诗云	詩云
话云	話云
该像	該像
该像征	該象徵
该象	該像
详征	詳徵
详注	詳註
夸克	夸克
夸克星	夸克星
夸父	夸父
夸尔	夸爾
夸特	夸特
夸脱	夸脫
夸赞	誇讚
认丑	認醜
认准	認準
诱奸	誘姦
诱欲	誘慾
诱发	誘發
诱发型	誘發型
语汇	語彙
语云	語云
诚征	誠徵
诚朴	誠樸
诬蔑	誣衊
误冲	誤衝
说不	說不
说不准	說不準
说干	說干
说干便干	說幹便幹
说干就干	說幹就幹
说得	說得
说得个准	說得個準
说的	說的
说的准	說的準
说签	說籤
谁干	誰幹
谁干净	誰乾淨
谁干脆	誰乾脆
谁是	誰是
谁是于	誰是于
课余	課餘
课征	課徵
调准	調準
调制	調製
调制解调	調制解調
调松	調鬆
请托	請託
诸余	諸餘
诸候	諸侯
谚云	諺云
谋干	謀幹
谬赞	謬讚
謷丑	謷醜
哗啦	嘩啦
哗喇	嘩喇
哗的	譁的
哗的一声	嘩的一聲
哗哗	嘩嘩
警剔	警惕
译注	譯註
护发	護髮
读取	讀取
读取头	讀取頭
读写	讀寫
读写头	讀寫頭
变丑	變醜
变征	變徵
变松	變鬆
谶悔	懺悔
谷仓	穀倉
谷场	穀場
谷子	穀子
谷壳	穀殼
谷物	穀物
谷皮	穀皮
谷神	穀神
谷稻	穀稻
谷米	穀米
谷粉	穀粉
谷粒	穀粒
谷粟	穀粟
谷舱	穀艙
谷苗	穀苗
谷草	穀草
谷贱	穀賤
谷道	穀道
谷雨	穀雨
谷类	穀類
谷麦	穀麥
豁上	豁上
豁上干	豁上幹
豁出	豁出
豁出命干	豁出命幹
豁命	豁命
豁命干	豁命幹
豁壑	谿壑
豁死	豁死
豁死干	豁死幹
豁起	豁起
豁起来干	豁起來幹
豆制	豆製
豆腐	豆腐
豆腐干	豆腐乾
豆蔻	荳蔻
豆鼓	豆豉
丰姿	丰姿
丰度	丰度
丰情	丰情
丰神	丰神
丰谀	豐腴
丰韵	丰韻
艳后	豔后
象一	像一
象三	像三
象不	象不
象不像	像不像
象之	象之
象之前	像之前
象二	像二
象些	像些
象人	像人
象什	像什
象今	像今
象他	像他
象以	象以
象以前	像以前
象以往	像以往
象似	像似
象你	像你
象个	像個
象两	像兩
象其	像其
象别	像別
象刚	像剛
象吗	像嗎
象在	像在
象梦	像夢
象她	像她
象它	像它
象已	像已
象带	像帶
象平	象平
象平时	像平時
象往	像往
象征	象徵
象征战	像征戰
象征服	像征服
象您	像您
象我	像我
象所	象所
象所有	像所有
象昨	像昨
象是	像是
象有	像有
象极	像極
象样	像樣
象水	像水
象永	像永
象片	像片
象牙	象牙
象牙齿	像牙齒
象现	像現
象甚	像甚
象当	像當
象疯	像瘋
象素	像素
象自	象自
象自己	像自己
象要	像要
象话	像話
象谁	像誰
象赞	像贊
象这	像這
象过	象過
象过去	像過去
象那	像那
象银	像銀
象雨	像雨
象风	像風
象鬼	像鬼
象么	像麼
豪华	豪華
豪华游	豪華遊
猪只	豬隻
猪肝	豬肝
猪肝面	豬肝麵
猪脚	豬腳
猪脚面	豬腳麵
猪舌	豬舌
猪舌面	豬舌麵
貌丑	貌醜
贝胄	貝冑
贝里	貝里
财欲	財慾
贪欲	貪慾
贵干	貴幹
买凶	買兇
买姜	買薑
买烟	買菸
贴志	貼誌
贴着	貼著
赈饥	賑饑
赐复	賜覆
卖奸	賣姦
卖姜	賣薑
质朴	質樸
赌台	賭檯
赌台湾	賭台灣
赌斗	賭鬥
剩余	賸餘
购并	購併
购并不	購並不
购并且	購並且
购并非	購並非
购买	購買
购买欲	購買慾
赞一	贊一
赞一句	讚一句
赞一声	讚一聲
赞一赞	讚一讚
赞不	贊不
赞不绝口	讚不絕口
赞了	讚了
赞他	讚他
赞仰	讚仰
赞你	讚你
赞佩	讚佩
赞个	贊個
赞个不	讚個不
赞两	贊兩
赞两句	讚兩句
赞口	贊口
赞口不	讚口不
赞叹	讚歎
赞她	讚她
赞好	讚好
赞妙	讚妙
赞得	讚得
赞您	讚您
赞我	讚我
赞捧	讚捧
赞扬	讚揚
赞乐	讚樂
赞歌	讚歌
赞的	讚的
赞美	讚美
赞羡	讚羨
赞羡	讚羨
赞声	讚聲
赞自	贊自
赞自己	讚自己
赞着	讚著
赞许	讚許
赞词	讚詞
赞咏	讚詠
赞诵	讚誦
赞誉	讚譽
赞赏	讚賞
赞辞	讚辭
赞这	讚這
赞过	讚過
赞道	讚道
赞那	讚那
赞颂	讚頌
赞：	讚：
赢余	贏餘
赤坎	赤崁
赤发	赤髮
起来	起來
起来象	起來像
起哄	起鬨
起干	起幹
超征	超徵
越丑	越醜
越准	越準
越咸	越鹹
越斗	越鬥
越象	越像
赶制	趕製
趋之	趨之
趋之若务	趨之若鶩
跌冲	跌衝
跖骨	蹠骨
跟他	跟他
跟他一斗	跟他一鬥
跟他斗	跟他鬥
跟你	跟你
跟你斗	跟你鬥
跟女	跟女
跟女斗	跟女鬥
跟她	跟她
跟她斗	跟她鬥
跟我	跟我
跟我斗	跟我鬥
跟斗	觔斗
跟跄	踉蹌
路签	路籤
路里	路里
跳只	跳只
跳只舞	跳隻舞
跳梁	跳樑
跳表	跳錶
踅门	踅門
踅门了户	踅門瞭戶
践道	棧道
踢踏	踢踏
踢踏舞	踢躂舞
蹉陀	蹉跎
蹒顸	顢頇
躁郁	躁鬱
身分	身份
身系	身繫
躬敬	恭敬
躯干	軀幹
车夫	車伕
车游	車遊
轨范	軌範
轩辟	軒闢
轫性	韌性
软发	軟髮
轸域	畛域
较丑	較醜
较像	較像
较像征	較象徵
较准	較準
较斗	較鬥
较松	較鬆
较象	較像
轻台	輕颱
轻挑	輕佻
轻松	輕鬆
轻篾	輕蔑
轻轻	輕輕
轻轻松松	輕輕鬆鬆
辈子	輩子
辈子干	輩子幹
轮回	輪迴
轮奸	輪姦
轮流	輪流
轮流干	輪流幹
辑凶	輯兇
转寰	轉圜
转戾	轉戾
转戾点	轉捩點
转托	轉託
轿夫	轎伕
辟佛	闢佛
辟作	闢作
辟划	闢劃
辟土	闢土
辟地	闢地
辟室	闢室
辟建	闢建
辟为	闢為
辟田	闢田
辟筑	闢築
辟谣	闢謠
辟谬	闢謬
辟谷	辟榖
辟蹊	辟蹊
辟蹊径	闢蹊徑
辟透	闢透
辟邪	闢邪
辟门	辟門
辟门户	闢門戶
辟阖	闢闔
辣面	辣麵
辨奸	辨奸
辨奸论	辨姦論
辞汇	辭彙
辫发	辮髮
农历	農曆
农民	農民
农民历	農民曆
农获	農穫
迂回	迂迴
迎斗	迎鬥
迥廊	迴廊
迥避	迴避
迨尽	殆盡
迷奸	迷姦
迷朦	迷濛
迷罔	迷惘
迷蒙	迷濛
迷迷	迷迷
迷迷蒙蒙	迷迷濛濛
迻逦	迆邐
追凶	追兇
追朔	追溯
追根	追根
追根究抵	追根究柢
追谥	追諡
透辟	透闢
这伙	這伙
这伙人	這夥人
这出	這出
这出剧	這齣劇
这出好戏	這齣好戲
这出戏	這齣戲
这出电影	這齣電影
这般	這般
这般准	這般準
这般干法	這般幹法
这里	這裡
这么	這麼
这么丑	這麼醜
这么像征	這麼象徵
这么准	這麼準
这么干	這麼幹
通奸	通姦
通心	通心
通心面	通心麵
通浚	通濬
通谍	通牒
通辑	通緝
逞凶	逞兇
速干	速乾
速食	速食
速食面	速食麵
造象	造像
连杰	連杰
连卷	連捲
连抉	連袂
连斗	連鬥
连系	連繫
连系统	連系統
连络	聯絡
逼奸	逼姦
逾年	踰年
逾矩	踰矩
逾越	踰越
逾闲	踰閒
遇着	遇著
运筹	運籌
运筹惟幄	運籌帷幄
遍布	遍佈
过松	過鬆
遐疵	瑕疵
道坎	道檻
道里	道里
道赞	道讚
递回	遞迴
远扬	遠颺
远游	遠遊
遨游	遨遊
遮丑	遮醜
选准	選準
遗撼	遺憾
遗范	遺範
遗象	遺像
遗迹	遺蹟
